epoch,layer_index,head,train_loss,val_loss,val_per,filter
1,9,bilstm,3.2720696359872816,1.718116620491291,0.858041269931805,preemphasis
2,9,bilstm,0.9205369879419987,0.5260522699561613,0.14680799165395392,preemphasis
3,9,bilstm,0.4498557765323382,0.39652754854539346,0.10864254054451025,preemphasis
4,9,bilstm,0.3636489182137526,0.3563365689639387,0.0991715234554996,preemphasis
5,9,bilstm,0.3226116511397637,0.34150859996162614,0.09900635184072774,preemphasis
1,9,bilstm,3.2850839933523766,1.706280987838219,0.8811260747023312,bandpass
2,9,bilstm,0.9214811316476419,0.5403302702410467,0.15287770145151372,bandpass
3,9,bilstm,0.4670525484933303,0.4186320099337348,0.1126887288592503,bandpass
4,9,bilstm,0.3789418130539931,0.38069185460435934,0.10954786442095256,bandpass
5,9,bilstm,0.33605094314194645,0.3699772386201497,0.10499550882667923,bandpass
1,9,bilstm,3.2851921803676163,1.6212870930803234,0.8405580066779559,wiener
2,9,bilstm,0.8659250783805664,0.5029464662075043,0.14068570268375152,wiener
3,9,bilstm,0.440025063088307,0.39053453222430984,0.10740034221303736,wiener
4,9,bilstm,0.36032030221361383,0.35926452356165856,0.10706435668888942,wiener
5,9,bilstm,0.32036064731386993,0.33510701281243355,0.09755410158961286,wiener
