layer_index,head,best_val_per,test_loss,test_per,num_epochs,batch_size,lr,filter
9,bilstm,0.09900635184072774,0.33974397310188836,0.10109151234104558,5,8,0.0001,preemphasis
9,bilstm,0.09755410158961286,0.3393441676383927,0.10116942774060958,5,8,0.0001,wiener
9,bilstm,0.10499550882667923,0.3673737062584786,0.10520211719765894,5,8,0.0001,bandpass
