epoch,layer_index,head,train_loss,val_loss,val_per,filter
1,9,bilstm,3.196284649693049,1.497343020192508,0.8145277372968375,preemphasis
2,9,bilstm,0.8228837082019219,0.5214790897122745,0.1254573291325142,preemphasis
3,9,bilstm,0.4435926587535785,0.4024872291704704,0.10632001141007254,preemphasis
4,9,bilstm,0.36421387103887704,0.36639039167042436,0.10311045538155729,preemphasis
5,9,bilstm,0.323497004663715,0.3521378256123641,0.09884383787464088,preemphasis
1,9,bilstm,3.2571297184779096,1.670741432699664,0.8782913122362257,bandpass
2,9,bilstm,0.9029961765958713,0.5335535011414824,0.14439307751031968,bandpass
3,9,bilstm,0.46546797483013225,0.4228448695663748,0.11136082204143317,bandpass
4,9,bilstm,0.38211893940774294,0.38137631991813925,0.10628550257096117,bandpass
5,9,bilstm,0.3389771892760809,0.360278716888921,0.10329990068890554,bandpass
1,9,bilstm,3.246035734277505,1.6185559075454186,0.8540701474721949,wiener
2,9,bilstm,0.8731766619934486,0.521587628228911,0.14304787760237986,wiener
3,9,bilstm,0.45186140491412236,0.40106860882249373,0.11049077254110087,wiener
4,9,bilstm,0.3681040322837921,0.36313206779545754,0.10427468243262615,wiener
5,9,bilstm,0.3256300023542001,0.34195536118129205,0.09897575121843019,wiener
